runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,800.191424,37.9,0,3.862,67,530,4
#1,1500.345728,38.4,0,3.854,67,612,4
#2,1500.398464,37.9,0,3.848,67,692,4
#3,1500.345728,37.4,0,3.848,67,691,4
#4,1500.398464,37.9,0,3.847,67,693,4
5,600.117184,38.4,0,3.847,67,694,4
6,600.117184,37.4,0,3.848,67,688,4
7,600.117184,38.9,0,3.852,67,644,4
8,600.117184,37.0,0,3.853,67,626,4
9,600.117184,37.9,0,3.853,67,627,4
10,600.16992,37.4,0,3.851,67,647,4
11,600.117184,38.4,0,3.851,67,645,4
12,600.16992,37.0,0,3.851,67,645,4
13,600.117184,37.9,0,3.851,66,642,4
14,600.16992,37.4,0,3.851,66,645,4
15,600.117184,37.4,0,3.852,66,628,4
16,600.117184,38.4,0,3.853,66,614,4
17,600.117184,38.4,0,3.853,66,626,4
18,600.117184,38.4,0,3.853,66,625,4
19,600.117184,37.9,0,3.853,66,615,4
20,600.16992,37.4,0,3.851,66,641,4
21,600.16992,37.4,0,3.851,66,641,4
22,600.117184,38.9,0,3.852,66,640,4
23,600.117184,38.4,0,3.853,66,625,4
24,800.191424,37.4,0,3.853,66,615,4
25,700.154304,38.4,0,3.852,66,631,4
26,700.154304,37.4,0,3.852,66,625,4
27,700.20704,38.9,0,3.853,66,615,4
28,600.16992,37.0,0,3.853,66,615,4
30,800.191424,37.4,0,3.851,66,643,4
31,700.20704,37.4,0,3.85,66,659,4
32,700.20704,38.4,0,3.852,66,625,4
33,700.154304,37.4,0,3.851,66,631,4
34,800.24416,37.9,0,3.852,66,625,4
35,700.154304,38.4,0,3.851,66,627,4
36,600.117184,37.9,0,3.851,66,631,4
37,700.154304,37.9,0,3.852,66,625,4
38,600.16992,38.4,0,3.851,66,630,4
39,600.117184,38.4,0,3.852,66,626,4
40,600.117184,38.4,0,3.851,66,641,4
41,600.117184,37.9,0,3.851,66,641,4
42,600.117184,37.4,0,3.851,66,640,4
43,600.16992,37.9,0,3.852,66,627,4
44,600.16992,38.4,0,3.851,66,641,4
45,600.16992,37.4,0,3.851,66,631,4
46,600.16992,37.0,0,3.85,66,656,4
47,600.16992,37.9,0,3.85,66,645,4
48,600.16992,37.0,0,3.852,66,624,4
49,700.154304,37.9,0,3.852,66,628,4
50,600.16992,37.9,0,3.851,66,642,4
51,600.16992,38.4,0,3.851,66,631,4
52,600.16992,37.9,0,3.85,66,643,4
53,600.16992,37.9,0,3.848,66,657,4
54,700.154304,37.4,0,3.85,66,644,4
55,600.16992,37.0,0,3.85,66,643,4
56,600.16992,37.9,0,3.851,66,627,4
57,600.117184,38.4,0,3.852,66,628,4
58,600.16992,37.9,0,3.851,66,630,4
60,600.117184,38.4,0,3.848,66,656,4
