runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,600.16992,36.5,0,3.866,67,518,2
1,600.16992,37.0,0,3.861,67,567,2
2,600.16992,37.4,0,3.863,67,548,2
3,600.117184,37.9,0,3.862,67,550,2
4,600.16992,37.9,0,3.859,67,577,2
5,600.117184,37.4,0,3.859,67,578,2
6,600.16992,37.0,0,3.864,67,532,2
8,600.16992,37.9,0,3.863,67,545,2
9,600.16992,37.0,0,3.863,67,548,2
10,600.117184,37.9,0,3.862,67,561,2
11,600.16992,37.9,0,3.863,67,545,2
12,600.16992,37.4,0,3.863,67,545,2
13,600.117184,37.0,0,3.863,67,550,2
14,600.16992,36.5,0,3.862,67,551,2
15,600.117184,37.4,0,3.862,67,549,2
16,600.117184,36.5,0,3.862,67,549,2
17,600.16992,37.0,0,3.862,67,550,2
18,700.154304,37.0,0,3.863,67,535,2
19,600.117184,36.5,0,3.862,67,550,2
20,600.117184,37.0,0,3.863,67,535,2
21,700.20704,37.4,0,3.864,67,534,2
22,600.16992,37.9,0,3.863,67,544,2
23,600.16992,37.4,0,3.862,67,549,2
24,700.154304,37.4,0,3.861,67,560,2
25,700.154304,37.0,0,3.861,67,561,2
26,700.20704,36.5,0,3.861,67,563,2
27,700.154304,37.4,0,3.863,67,545,2
28,700.154304,37.0,0,3.863,67,546,2
29,700.20704,37.4,0,3.862,67,561,2
30,700.154304,37.4,0,3.863,67,547,2
31,600.16992,37.4,0,3.862,67,549,2
32,700.20704,36.5,0,3.862,67,547,2
33,600.16992,37.9,0,3.863,67,548,2
34,600.16992,37.9,0,3.862,67,560,2
35,600.16992,37.0,0,3.862,67,545,2
37,600.16992,37.9,0,3.863,67,534,2
38,600.117184,37.4,0,3.862,67,547,2
39,700.154304,37.9,0,3.861,67,560,2
40,600.16992,37.0,0,3.862,67,549,2
41,600.117184,37.4,0,3.862,67,551,2
42,700.20704,36.5,0,3.863,67,544,2
43,600.117184,37.0,0,3.861,67,562,2
44,600.117184,37.9,0,3.861,67,550,2
45,600.117184,37.4,0,3.862,67,550,2
46,600.16992,37.9,0,3.861,67,549,2
47,600.16992,37.9,0,3.862,67,534,2
48,600.16992,37.9,0,3.863,67,533,2
49,600.117184,37.4,0,3.861,67,560,2
50,600.16992,38.4,0,3.862,67,550,2
51,600.117184,37.4,0,3.861,67,564,2
52,600.16992,37.4,0,3.859,67,566,2
53,700.20704,37.4,0,3.861,67,560,2
54,600.117184,38.9,0,3.862,67,561,2
55,600.16992,37.0,0,3.862,67,548,2
56,600.117184,37.0,0,3.861,67,551,2
57,600.16992,37.4,0,3.862,67,550,2
58,600.117184,37.4,0,3.861,67,563,2
59,600.16992,37.4,0,3.859,67,564,2
60,600.117184,38.4,0,3.861,67,550,2
