runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,700.20704,37.0,0,3.868,67,528,1
1,600.117184,37.4,0,3.863,67,565,1
2,600.16992,37.0,0,3.863,67,561,1
3,600.117184,39.4,0,3.866,67,531,1
4,600.16992,37.9,0,3.866,67,532,1
5,600.117184,37.0,0,3.866,67,534,1
6,600.117184,36.5,0,3.869,67,516,1
7,600.16992,37.4,0,3.868,67,518,1
8,600.117184,37.9,0,3.867,67,518,1
9,600.16992,37.4,0,3.868,67,516,1
10,600.117184,38.4,0,3.867,67,529,1
11,600.117184,37.9,0,3.864,67,548,1
12,600.117184,36.5,0,3.865,67,545,1
13,600.16992,36.5,0,3.864,67,546,1
14,700.20704,37.0,0,3.867,67,519,1
15,600.117184,36.5,0,3.865,67,534,1
17,600.117184,36.5,0,3.868,67,519,1
18,600.117184,37.0,0,3.868,67,518,1
19,600.16992,37.0,0,3.868,67,515,1
20,600.16992,37.9,0,3.868,67,515,1
21,600.117184,37.4,0,3.866,67,530,1
22,600.16992,37.9,0,3.868,67,517,1
23,600.117184,37.4,0,3.868,67,516,1
24,600.16992,37.0,0,3.867,67,528,1
25,600.16992,37.0,0,3.868,67,515,1
26,600.117184,37.4,0,3.863,67,560,1
27,600.117184,37.9,0,3.864,67,548,1
28,600.117184,38.4,0,3.868,67,512,1
29,600.117184,37.9,0,3.868,67,514,1
30,700.20704,37.4,0,3.867,67,516,1
31,600.117184,36.5,0,3.865,67,535,1
32,600.16992,37.4,0,3.866,67,532,1
33,600.16992,37.0,0,3.868,67,513,1
34,700.20704,37.4,0,3.864,67,544,1
35,700.20704,36.5,0,3.864,67,548,1
36,700.154304,37.4,0,3.865,67,532,1
37,700.154304,37.4,0,3.867,67,515,1
38,700.20704,37.0,0,3.866,67,519,1
39,700.154304,37.0,0,3.867,67,517,1
40,700.154304,37.4,0,3.867,67,518,1
41,600.16992,37.0,0,3.867,67,528,1
42,600.16992,37.4,0,3.867,67,518,1
43,600.16992,37.4,0,3.868,67,514,1
44,600.117184,37.4,0,3.867,67,519,1
46,600.16992,37.9,0,3.867,67,517,1
47,600.117184,37.9,0,3.866,67,516,1
48,600.16992,36.5,0,3.866,67,517,1
49,600.117184,37.4,0,3.865,67,531,1
50,600.117184,37.4,0,3.864,67,534,1
51,700.154304,37.0,0,3.864,67,535,1
52,600.117184,37.0,0,3.864,67,550,1
53,600.16992,37.0,0,3.866,67,530,1
54,600.16992,37.0,0,3.865,67,531,1
55,600.117184,37.0,0,3.866,67,528,1
56,600.117184,37.4,0,3.866,67,532,1
57,600.16992,37.0,0,3.864,67,545,1
58,600.117184,37.0,0,3.868,67,503,1
59,600.16992,37.4,0,3.867,67,516,1
60,600.16992,37.4,0,3.865,67,534,1
