runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,800.191424,38.9,0,3.68,29,753,0
1,600.16992,38.4,0,3.685,29,690,0
2,600.117184,38.9,0,3.693,29,577,0
3,700.154304,38.9,0,3.694,29,561,0
4,600.16992,38.4,0,3.693,29,565,0
5,600.117184,38.4,0,3.696,29,562,0
6,700.20704,37.9,0,3.694,29,577,0
7,700.154304,38.9,0,3.692,29,596,0
8,600.117184,38.9,0,3.691,29,608,0
9,600.16992,38.9,0,3.692,29,595,0
10,600.16992,39.4,0,3.696,29,550,0
11,700.154304,38.9,0,3.694,29,567,0
12,600.16992,37.9,0,3.693,29,582,0
13,600.117184,38.4,0,3.694,29,560,0
14,600.16992,38.9,0,3.696,29,551,0
15,600.16992,38.9,0,3.694,29,565,0
16,800.191424,37.9,0,3.693,29,576,0
17,600.117184,40.4,0,3.692,29,596,0
18,600.16992,38.4,0,3.696,29,546,0
19,600.16992,38.9,0,3.694,29,561,0
20,600.117184,39.9,0,3.694,29,565,0
21,600.16992,38.9,0,3.696,29,560,0
22,600.117184,38.4,0,3.693,29,577,0
23,600.16992,38.9,0,3.696,29,549,0
24,600.117184,38.9,0,3.696,29,549,0
25,600.117184,37.4,0,3.696,29,560,0
26,600.16992,38.4,0,3.694,29,562,0
28,600.117184,37.9,0,3.696,29,560,0
29,600.16992,38.9,0,3.696,29,561,0
30,600.16992,39.4,0,3.694,29,566,0
31,600.117184,38.9,0,3.693,29,577,0
32,600.117184,39.4,0,3.692,29,582,0
33,600.16992,38.9,0,3.693,29,579,0
34,600.117184,38.4,0,3.693,29,578,0
35,600.16992,38.9,0,3.694,29,563,0
36,600.16992,38.9,0,3.697,29,545,0
37,600.16992,39.4,0,3.696,29,560,0
38,600.117184,38.9,0,3.697,29,544,0
39,700.20704,38.9,0,3.694,29,566,0
40,600.117184,38.4,0,3.693,29,581,0
41,900.228544,38.9,0,3.696,29,548,0
42,800.191424,38.4,0,3.694,29,576,0
43,600.16992,38.4,0,3.696,29,546,0
44,800.191424,37.9,0,3.697,29,549,0
45,800.191424,38.9,0,3.696,29,546,0
46,800.191424,37.9,0,3.696,29,551,0
47,700.20704,38.4,0,3.693,29,580,0
48,700.154304,38.4,0,3.694,29,561,0
49,700.20704,37.9,0,3.694,29,566,0
50,600.117184,38.9,0,3.694,29,566,0
51,700.20704,39.4,0,3.696,29,561,0
52,600.117184,38.4,0,3.694,29,566,0
53,600.16992,38.4,0,3.696,29,562,0
54,600.16992,38.9,0,3.696,29,551,0
55,700.154304,38.4,0,3.696,29,551,0
56,600.117184,37.9,0,3.693,29,593,0
57,600.117184,39.4,0,3.693,29,578,0
59,600.16992,38.9,0,3.696,29,549,0
60,700.20704,37.9,0,3.696,29,550,0
