runtime,clock,temp,throttled,voltage,capacity,current,backlight
#0,600.117184,38.4,0,3.683,29,691,0
1,1950.486272,38.4,0,3.68,29,736,0
2,1950.433536,38.9,0,3.681,29,736,0
3,1950.433536,38.9,0,3.678,29,775,0
4,1950.486272,39.4,0,3.672,29,823,0
5,1300.324224,40.4,0,3.67,29,865,0
6,1950.486272,40.9,0,3.671,29,853,0
7,1950.433536,40.4,0,3.671,29,852,0
8,1950.486272,40.4,0,3.671,29,838,0
9,1950.486272,40.4,0,3.671,29,839,0
10,1950.486272,39.4,0,3.67,29,849,0
11,1950.486272,39.9,0,3.67,29,866,0
12,1950.433536,39.9,0,3.671,29,851,0
13,1950.486272,39.4,0,3.67,29,854,0
14,1950.486272,40.4,0,3.67,29,855,0
15,1950.433536,40.4,0,3.671,29,839,0
16,1950.486272,39.9,0,3.67,29,850,0
17,1950.486272,40.4,0,3.67,29,850,0
18,1950.486272,40.9,0,3.667,29,886,0
19,1950.486272,41.3,0,3.664,29,915,0
20,1950.433536,41.8,0,3.638,29,1201,0
22,1950.486272,42.3,0,3.638,28,1203,0
23,1950.486272,41.8,0,3.635,28,1217,0
24,1950.486272,42.3,0,3.636,28,1202,0
25,1950.486272,43.3,0,3.637,28,1184,0
26,1950.486272,42.3,0,3.638,28,1172,0
28,1950.486272,42.3,0,3.636,28,1201,0
29,1950.433536,43.3,0,3.636,28,1201,0
30,1950.486272,43.3,0,3.637,28,1187,0
31,1950.486272,43.3,0,3.636,28,1205,0
32,1950.486272,42.3,0,3.636,28,1206,0
33,1950.433536,42.8,0,3.636,28,1188,0
35,1950.486272,43.3,0,3.635,28,1203,0
36,1950.486272,43.3,0,3.634,28,1220,0
37,1950.486272,43.8,0,3.635,28,1202,0
38,1950.486272,43.3,0,3.635,28,1206,0
39,1950.486272,43.8,0,3.635,28,1191,0
41,1950.486272,45.7,0,3.635,28,1189,0
42,1950.486272,43.8,0,3.636,28,1190,0
43,1950.486272,43.8,0,3.635,28,1191,0
44,1950.486272,42.3,0,3.638,28,1169,0
45,1950.433536,42.8,0,3.666,28,881,0
46,1950.486272,41.8,0,3.667,28,867,0
47,1950.486272,42.3,0,3.668,28,851,0
48,1950.486272,42.8,0,3.669,28,835,0
49,1950.433536,41.8,0,3.669,28,837,0
50,1950.486272,41.8,0,3.669,28,836,0
51,1950.486272,42.3,0,3.669,28,837,0
52,1950.486272,42.3,0,3.67,27,822,0
53,1950.486272,42.3,0,3.666,27,866,0
54,1950.486272,42.3,0,3.669,27,837,0
55,1950.486272,42.8,0,3.668,27,849,0
56,1950.486272,40.9,0,3.668,27,839,0
57,1950.486272,41.8,0,3.669,27,836,0
58,1950.486272,41.3,0,3.669,27,850,0
59,1950.486272,42.8,0,3.669,27,834,0
60,1950.433536,42.8,0,3.667,27,854,0
61,1950.486272,42.3,0,3.667,27,854,0
62,1950.486272,42.3,0,3.668,27,849,0
63,1950.433536,41.8,0,3.667,27,855,0
64,1950.433536,42.8,0,3.668,27,849,0
65,1950.486272,41.8,0,3.668,27,850,0
66,1950.433536,41.3,0,3.667,27,851,0
67,1950.486272,42.3,0,3.669,27,836,0
68,1950.486272,42.3,0,3.668,27,850,0
69,1950.486272,41.8,0,3.668,27,849,0
70,1950.486272,41.8,0,3.667,27,854,0
71,1950.486272,42.3,0,3.668,27,854,0
72,1950.486272,41.8,0,3.667,27,855,0
73,1950.486272,42.3,0,3.667,27,855,0
75,1950.486272,42.3,0,3.668,27,849,0
76,1950.486272,42.3,0,3.667,27,864,0
77,1950.433536,41.8,0,3.667,27,855,0
78,1950.433536,42.8,0,3.668,27,849,0
79,1950.486272,41.8,0,3.667,27,851,0
80,1950.486272,42.3,0,3.667,27,851,0
81,1950.486272,41.8,0,3.668,27,849,0
82,1950.486272,41.8,0,3.668,27,848,0
83,1950.486272,41.8,0,3.668,27,837,0
84,1950.486272,42.3,0,3.669,27,834,0
85,1950.486272,42.3,0,3.668,27,851,0
86,1950.486272,42.3,0,3.668,27,839,0
87,1950.486272,42.8,0,3.668,27,838,0
88,1950.486272,42.3,0,3.669,27,833,0
89,1950.486272,42.3,0,3.668,27,836,0
90,1950.486272,41.8,0,3.668,27,833,0
91,1950.486272,42.3,0,3.666,27,852,0
92,1950.433536,42.3,0,3.666,27,865,0
93,1950.486272,42.8,0,3.667,27,852,0
94,1950.486272,42.3,0,3.667,27,854,0
95,1950.486272,41.8,0,3.667,27,853,0
96,1950.486272,41.8,0,3.665,27,871,0
97,1950.486272,41.3,0,3.666,27,866,0
98,1950.486272,41.3,0,3.665,27,869,0
99,1950.486272,42.3,0,3.667,27,852,0
100,1950.486272,42.3,0,3.666,27,864,0
101,1950.486272,41.8,0,3.665,27,865,0
102,1950.486272,42.8,0,3.665,27,867,0
103,1950.486272,42.3,0,3.666,27,864,0
104,1950.433536,42.3,0,3.666,27,867,0
105,1950.486272,41.8,0,3.665,27,882,0
106,1950.486272,42.8,0,3.664,27,886,0
107,1950.486272,42.3,0,3.666,27,866,0
108,1950.486272,42.8,0,3.665,27,868,0
109,1950.486272,43.3,0,3.666,27,867,0
110,1950.433536,41.8,0,3.665,27,869,0
111,1950.486272,42.3,0,3.665,27,871,0
112,1950.486272,42.8,0,3.665,27,868,0
113,1950.486272,42.8,0,3.665,27,880,0
114,1950.486272,43.3,0,3.665,27,870,0
115,1950.486272,42.8,0,3.665,27,867,0
116,1950.433536,42.8,0,3.664,27,882,0
117,1950.486272,42.8,0,3.664,27,883,0
118,1950.486272,43.3,0,3.665,27,871,0
119,1950.486272,43.3,0,3.665,27,869,0
120,1950.486272,41.8,0,3.665,27,866,0
121,1950.486272,42.3,0,3.664,27,881,0
123,1950.486272,42.8,0,3.665,27,871,0
124,1950.433536,42.8,0,3.664,27,881,0
125,1950.433536,42.3,0,3.659,27,917,0
126,1950.486272,42.3,0,3.664,27,880,0
127,1950.486272,42.3,0,3.666,27,855,0
128,1950.486272,42.8,0,3.663,27,886,0
129,1950.486272,42.8,0,3.663,27,884,0
