runtime,clock,temp,throttled,voltage,capacity,current,backlight
#0,600.117184,35.5,0,3.702,34,659,0
1,1200.287104,36.5,0,3.701,34,677,0
2,1200.287104,36.0,0,3.7,34,689,0
3,1200.287104,36.5,0,3.699,34,705,0
4,1200.287104,36.5,0,3.698,34,721,0
5,1200.287104,36.0,0,3.698,34,721,0
6,1200.287104,36.0,0,3.698,34,720,0
7,1200.287104,36.5,0,3.698,34,711,0
8,1200.33984,36.5,0,3.698,34,721,0
9,1200.287104,37.0,0,3.698,34,723,0
10,1200.287104,36.5,0,3.699,34,710,0
11,1200.287104,36.0,0,3.698,34,721,0
12,1200.287104,37.4,0,3.698,34,723,0
14,1200.287104,37.0,0,3.698,34,724,0
15,1200.287104,36.0,0,3.697,34,723,0
16,1200.287104,37.4,0,3.698,34,724,0
17,1200.287104,37.4,0,3.698,34,721,0
18,1200.287104,36.0,0,3.698,34,723,0
19,1200.33984,37.0,0,3.698,34,723,0
20,1200.287104,37.0,0,3.698,34,722,0
21,1200.287104,37.0,0,3.697,34,721,0
22,1200.287104,36.0,0,3.698,34,711,0
23,1200.287104,37.0,0,3.698,34,710,0
24,1200.287104,37.0,0,3.697,34,725,0
25,1200.287104,37.4,0,3.696,34,737,0
26,1200.287104,37.0,0,3.694,34,743,0
27,1200.287104,37.4,0,3.69,34,822,0
28,1200.287104,37.9,0,3.681,34,929,0
29,1200.287104,37.0,0,3.681,34,931,0
30,1200.287104,37.4,0,3.681,34,916,0
32,1200.287104,37.0,0,3.68,34,919,0
33,1200.287104,37.4,0,3.681,33,918,0
34,1200.287104,37.9,0,3.681,33,916,0
35,1200.287104,38.4,0,3.68,33,929,0
36,1200.287104,37.9,0,3.681,33,929,0
37,1200.287104,37.9,0,3.681,33,931,0
39,1200.33984,37.9,0,3.68,33,932,0
40,1200.287104,37.9,0,3.68,33,932,0
41,1200.287104,37.9,0,3.68,33,933,0
42,1200.287104,37.9,0,3.68,33,933,0
43,1200.33984,38.4,0,3.678,33,950,0
44,1200.287104,38.4,0,3.679,33,944,0
45,1200.287104,38.4,0,3.682,33,903,0
46,1200.287104,38.9,0,3.68,33,930,0
48,1200.287104,37.9,0,3.678,33,949,0
49,1200.287104,37.0,0,3.679,33,945,0
50,1200.287104,38.9,0,3.678,33,947,0
51,1200.287104,38.9,0,3.678,33,948,0
52,1200.287104,38.4,0,3.679,33,935,0
54,1200.33984,39.4,0,3.679,33,945,0
55,1200.287104,38.4,0,3.679,33,944,0
56,1200.287104,38.9,0,3.678,33,945,0
57,1200.287104,38.9,0,3.678,33,961,0
58,1200.287104,38.4,0,3.678,33,931,0
59,1200.287104,38.4,0,3.686,33,835,0
60,1200.287104,37.4,0,3.692,33,755,0
61,1200.287104,38.4,0,3.696,33,708,0
62,1200.287104,37.9,0,3.696,33,709,0
63,1200.287104,37.9,0,3.697,33,706,0
64,1200.33984,38.4,0,3.696,33,711,0
65,1200.287104,37.9,0,3.694,33,711,0
66,1200.287104,38.4,0,3.697,33,709,0
67,1200.287104,37.0,0,3.696,33,721,0
69,1200.287104,37.4,0,3.696,33,708,0
70,1200.287104,37.4,0,3.696,33,711,0
71,1200.287104,38.4,0,3.696,33,721,0
72,1200.287104,38.4,0,3.697,33,707,0
73,1200.287104,38.4,0,3.696,33,710,0
74,1200.287104,37.0,0,3.696,33,721,0
75,1200.287104,37.9,0,3.694,33,724,0
76,1200.287104,37.0,0,3.696,33,721,0
77,1200.287104,37.9,0,3.696,33,710,0
78,1200.287104,37.9,0,3.694,33,723,0
79,1200.287104,37.9,0,3.694,33,723,0
80,1200.287104,36.5,0,3.696,33,709,0
81,1200.33984,37.9,0,3.696,33,707,0
82,1200.287104,38.4,0,3.696,33,720,0
83,1200.33984,37.4,0,3.696,33,711,0
84,1200.287104,37.4,0,3.696,33,711,0
85,1200.287104,37.4,0,3.696,33,709,0
86,1200.287104,38.4,0,3.696,33,710,0
87,1200.287104,37.9,0,3.694,33,711,0
88,1200.287104,38.4,0,3.694,33,725,0
89,1200.287104,37.9,0,3.696,33,721,0
90,1200.287104,37.9,0,3.694,33,722,0
91,1200.33984,37.0,0,3.694,33,722,0
