runtime,clock,temp,throttled,voltage,capacity,current,backlight
#0,700.154304,39.9,0,3.7,33,679,0
1,1800.404352,38.9,0,3.698,33,707,0
2,1800.404352,38.9,0,3.697,33,724,0
3,1800.457088,38.9,0,3.697,33,725,0
4,1800.404352,40.4,0,3.69,33,807,0
5,1200.287104,40.9,0,3.69,33,816,0
6,1800.457088,39.9,0,3.689,33,819,0
7,1800.457088,39.4,0,3.69,33,817,0
8,1800.457088,40.4,0,3.69,33,817,0
9,1800.457088,40.9,0,3.691,33,801,0
10,1800.404352,40.4,0,3.691,33,816,0
11,1800.404352,39.9,0,3.689,33,816,0
12,1800.404352,39.4,0,3.69,33,816,0
13,1800.457088,40.9,0,3.689,33,806,0
14,1800.457088,40.9,0,3.69,33,817,0
16,1800.404352,40.4,0,3.689,33,819,0
17,1800.457088,39.9,0,3.69,33,805,0
18,1800.457088,41.3,0,3.69,33,816,0
19,1800.404352,40.9,0,3.69,33,804,0
20,1800.457088,40.9,0,3.687,33,851,0
21,1800.457088,41.8,0,3.681,33,899,0
22,1800.457088,42.3,0,3.67,33,1044,0
23,1800.404352,42.8,0,3.664,33,1126,0
24,1800.457088,41.3,0,3.665,33,1109,0
25,1800.457088,42.3,0,3.661,33,1141,0
26,1800.457088,43.3,0,3.664,33,1124,0
28,1800.404352,42.8,0,3.663,33,1136,0
29,1800.457088,43.3,0,3.666,33,1106,0
30,1800.457088,42.8,0,3.665,33,1124,0
31,1800.457088,41.8,0,3.664,33,1121,0
32,1800.457088,43.3,0,3.663,33,1126,0
34,1800.404352,43.8,0,3.661,33,1137,0
35,1800.457088,42.3,0,3.665,33,1107,0
36,1800.457088,43.3,0,3.663,33,1122,0
37,1800.457088,44.3,0,3.665,33,1120,0
38,1800.404352,42.8,0,3.664,33,1121,0
39,1800.457088,44.3,0,3.664,33,1108,0
41,1800.457088,43.8,0,3.66,33,1142,0
42,1800.457088,44.3,0,3.663,33,1122,0
43,1800.404352,43.8,0,3.661,33,1127,0
44,1800.457088,43.8,0,3.66,33,1136,0
